step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,1.3457815256744874,1.544962923124313,1.5855241535753892,1.2,-0.01425027384877835,0.31967546201758007,0,4,-15.804113152985373
1,0.2,1.3422469750296409,1.784936894529003,1.5811243145348663,1.2,-0.021999195202614258,0.6131174563502341,0,4,-14.544066041770872
2,0.4,1.3397683020381685,2.024924094563091,1.6004846329644622,1.2,0.09680159214797893,0.6131174563502341,0,4,-11.388791689659087
3,0.6,1.3339072126714497,2.2222868963595865,1.573574024847933,0.9872490554759658,-0.1345530405826454,0.8823592193079755,0,4,-16.029805671217897
4,0.8,1.3333034755872792,2.439637925848591,1.545220338841387,1.0867593399460262,-0.14176843003273007,1.1294499836701548,0,4,-15.105191504955751
5,1.0,1.339441043515982,2.6795594343881977,1.5095605559842775,1.2,-0.17829891428554717,1.356467765844693,0,4,-16.126142619922142
6,1.2,1.3541284453086575,2.919109596626883,1.4665611871840623,1.2,-0.2149968440010766,1.5655360772140334,0,4,-15.867655908622687
7,1.4,1.3790996029753264,3.157806980954375,1.4120046788377927,1.2,-0.27278254173134814,1.9386706030215877,0,4,-16.59506040767447
8,1.6,1.4168679830165738,3.3936531672419967,1.3429610669538607,1.1942557736657133,-0.34521805941965933,2.107402936299191,0,4,-14.846213065276414
9,1.8,1.470026060045754,3.622920075641932,1.2722868467090296,1.1767444119338795,-0.35337110122415555,2.2675539205688375,0,4,-15.49835210839949
10,2.0,1.5341029531427388,3.8311621632068595,1.2149920478356875,1.0893876176820785,-0.2864739943667103,2.5727590161061644,0,4,-15.109611173479111
11,2.2,1.6148919589481174,4.048558859361403,1.1596557355680437,1.1596140193824445,-0.27668156133821853,2.7227203752058977,0,4,-16.112840429899126
12,2.4,1.7108091897730058,4.268558597613259,1.1259853829300324,1.2,-0.16835176319005712,3.0215293889802792,0,4,-17.003368773086027
13,2.6,1.8140781246190616,4.485204684805622,1.1214943901917744,1.2,-0.022454963691289954,3.3187718096745566,0,4,-15.739644894229233
14,2.8,1.9183189707842419,4.701384808754997,1.1549751572369622,1.2,0.1674038352259393,3.466247952398545,0,4,-14.819798740243112
15,3.0,2.015264873190514,4.9209331906817,1.2259830763893513,1.2,0.3550395957619452,3.7576995948128875,0,4,-16.5194731692636
16,3.2,2.096389895404669,5.1468064533108855,1.3179398004837133,1.2,0.45978362047180954,4.044519520875719,0,4,-15.519082334685189
17,3.4,2.1558003257601337,5.376734617443334,1.422294981633922,1.1873979945277358,0.5217759057510436,4.187278356615204,0,4,-14.026299006643377
18,3.6,2.1913097990364157,5.614093159121616,1.5417457404523542,1.2,0.5972537940921612,4.476729235284208,0,4,-16.320200113935826
19,3.8,2.1982809591259223,5.853991893855683,1.6535614750038579,1.2,0.5590786727575183,4.775432187009906,0,4,-15.878427876166016
20,4.0,2.1790029078040534,6.086384548946099,1.7596752029642433,1.1659544309571173,0.5305686398019274,4.92826154196781,0,4,-14.820468211189452
21,4.2,2.1339410290439202,6.322116233457551,1.8528040503478047,1.2,0.46564423691780693,5.239089405623036,0,4,-15.986783771973144
