step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
0,0.0,5.767295145291455,5.637887389126236,1.6012993990409607,1.1900606569769598,-0.009371366663105118,0.24752437015597872,0,1,-16.203458124664284
1,0.2,5.760063270247036,5.87490062868611,1.57878919172862,1.1856177265809986,-0.11255103656170361,0.4558560208456118,0,1,-14.83257026328123
2,0.4,5.758145003088129,6.114892962420142,1.5952846255286,1.2,0.08247716899989982,0.708968146866295,0,1,-16.01092064865732
3,0.6,5.752268398776988,6.354821004803208,1.5855788243155076,1.2,-0.048529006065462114,0.9694407257670206,0,1,-14.48695764088748
4,0.8,5.748720728582804,6.59479478261277,1.6023525015134499,1.2,0.08386838598971164,1.1856530353335613,0,1,-15.805441905246596
5,1.0,5.741335447820185,6.828753089161127,1.593597259509557,1.170374209119859,-0.043776210019463836,1.4258749681481815,0,1,-15.6652171715396
6,1.2,5.7363618572762425,7.046846299733552,1.616899269829925,1.0907495714036142,0.1165100516018387,1.6515193150705005,0,1,-14.282349436930739
7,1.4,5.725301070169137,7.286591287144282,1.6169275492634345,1.2,0.0001413971675484009,1.8759105263572535,0,1,-16.178365129516063
8,1.6,5.71506900015385,7.508237499491685,1.6152818278905696,1.1094113157971164,-0.008228606864324839,2.1003017376440054,0,1,-15.671601437963494
9,1.8,5.704861586974883,7.737540950857815,1.6128626948543727,1.1476526488034737,-0.012095665180984006,2.327307301001741,0,1,-14.72195329543892
10,2.0,5.695141984661207,7.968458638380724,1.6101381418928271,1.1556107592964024,-0.013622764807728109,2.5728473248623698,0,1,-14.492816371875094
11,2.2,5.68620872587414,8.19540926044764,1.6077769690205428,1.1356318502172762,-0.011805864361421618,2.7967864446921196,0,1,-12.884235278566052
12,2.4,5.677948281389688,8.418679546501926,1.6059409910300033,1.1171152086719107,-0.009179889952697756,2.9979746635908624,0,1,-11.182781509781618
13,2.6,5.6703310917031695,8.635328459688527,1.6046588908902781,1.083913893762505,-0.006410500698625769,3.251086789611548,0,1,-9.447011364164439
14,2.8,5.66308497324317,8.849232775512167,1.6244990902962853,1.0701350681189281,0.09920099703003614,3.4594184403011803,0,1,-6.359862639272376
15,3.0,5.656952408604059,8.963317558007892,1.615459604304822,0.5712474495818275,-0.045197429957316286,3.577878649760573,0,1,-3.625597374805662
